time_tag,kp_index,estimated_kp
1,1,0.67
2,1,0.67
3,1,0.67
4,1,0.67
5,1,0.67
6,1,0.67
7,1,0.67
8,1,0.67
9,1,0.67
10,1,0.67
11,1,0.67
12,1,0.67
13,1,0.67
14,1,0.67
15,1,0.67
16,1,0.67
17,1,0.67
18,1,0.67
19,1,0.67
20,1,0.67
21,1,0.67
22,1,0.67
23,1,0.67
24,1,0.67
25,1,0.67
26,1,0.67
27,1,0.67
28,1,0.67
29,1,0.67
30,1,0.67
31,1,0.67
32,1,0.67
33,1,0.67
34,1,0.67
35,1,0.67
36,1,0.67
37,1,0.67
38,1,0.67
39,1,1.0
40,1,1.0
41,1,1.0
42,1,1.0
43,1,1.0
44,1,1.0
45,1,1.0
46,1,1.0
47,1,1.0
48,1,1.0
49,1,1.0
50,1,1.0
51,1,1.0
52,1,1.0
53,1,1.0
54,1,1.0
55,1,1.0
56,1,1.0
57,1,1.0
58,1,1.0
59,1,1.0
60,1,1.0
61,1,1.0
62,1,1.0
63,1,1.0
64,1,1.0
65,1,1.0
66,1,1.0
67,1,1.0
68,1,1.0
69,1,1.0
70,1,1.0
71,1,1.0
72,1,1.0
73,1,1.0
74,1,1.0
75,1,1.0
76,1,1.0
77,1,1.0
78,1,1.0
79,1,1.0
80,1,1.0
81,1,1.0
82,1,1.0
83,1,1.0
84,1,1.0
85,1,1.0
86,1,1.0
87,1,1.0
88,1,1.0
89,1,1.0
90,1,1.0
91,1,1.0
92,1,1.0
93,1,1.0
94,1,1.0
95,1,1.0
96,1,1.0
97,1,1.0
98,1,1.0
99,1,1.0
100,1,1.0
101,1,1.0
102,1,1.0
103,1,1.0
104,1,1.0
105,1,1.0
106,1,1.0
107,1,1.0
108,1,1.0
109,1,1.0
110,1,1.0
111,1,1.0
112,1,1.0
113,1,1.0
114,1,1.0
115,1,1.0
116,1,1.0
117,1,1.0
118,1,1.0
119,1,1.0
120,1,1.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
