time_tag,active,source,range,scale,sensitivity,manual_mode,sample_size,bt,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm,max_telemetry_flag,max_data_flag,overall_quality
1,False,DSCOVR,0.0,4.0,0.002,False,2850,3.88,-3.56,1.48,-0.48,-7.13,157.4,-3.56,1.09,-1.11,-16.61,162.93,0,0,0
2,False,DSCOVR,0.0,4.0,0.002,False,2850,3.77,-3.41,1.48,-0.58,-8.95,156.56,-3.41,1.04,-1.2,-18.61,163.0,0,0,0
3,False,DSCOVR,0.0,4.0,0.002,False,2950,3.75,-3.26,1.49,-1.02,-15.91,155.48,-3.26,0.85,-1.5899999999999999,-25.28,165.4,0,0,0
4,False,DSCOVR,0.0,4.0,0.002,False,3000,3.7800000000000002,-3.27,1.71,-0.8,-12.19,152.36,-3.27,1.15,-1.5,-23.35,160.58,0,0,0
5,False,DSCOVR,0.0,4.0,0.002,False,2850,3.7800000000000002,-3.41,1.53,-0.52,-7.85,155.9,-3.41,1.12,-1.16,-17.91,161.86,1,0,0
6,False,DSCOVR,0.0,4.0,0.002,False,3000,3.84,-3.33,1.79,-0.68,-10.14,151.81,-3.33,1.27,-1.42,-21.74,159.07,1,0,0
7,False,DSCOVR,0.0,4.0,0.002,False,2850,3.84,-3.4,1.6400000000000001,-0.66,-9.95,154.25,-3.4,1.15,-1.34,-20.5,161.29,0,0,0
8,False,DSCOVR,0.0,4.0,0.002,False,2850,3.84,-3.43,1.6,-0.66,-9.86,154.93,-3.43,1.12,-1.32,-20.13,161.89,0,0,0
9,False,DSCOVR,0.0,4.0,0.002,False,3000,3.83,-3.37,1.5899999999999999,-0.87,-13.1,154.8,-3.37,1.01,-1.5,-23.08,163.33,0,0,0
10,False,DSCOVR,0.0,4.0,0.002,False,3000,3.92,-3.61,1.47,-0.45,-6.55,157.88,-3.61,1.1,-1.07,-15.86,163.1,0,0,0
11,False,DSCOVR,0.0,4.0,0.002,False,2850,3.93,-3.64,1.34,-0.58,-8.49,159.83,-3.64,0.92,-1.13,-16.73,165.8,0,0,0
12,False,DSCOVR,0.0,4.0,0.002,False,2900,3.88,-3.5700000000000003,1.4100000000000001,-0.49,-7.25,158.4,-3.5700000000000003,1.03,-1.08,-16.26,163.9,0,0,0
13,False,DSCOVR,0.0,4.0,0.002,False,2950,3.83,-3.48,1.53,-0.43,-6.42,156.32,-3.48,1.16,-1.08,-16.43,161.58,0,0,0
14,False,DSCOVR,0.0,4.0,0.002,False,2900,3.81,-3.43,1.57,-0.48,-7.23,155.5,-3.43,1.17,-1.1400000000000001,-17.51,161.19,0,0,0
15,False,DSCOVR,0.0,4.0,0.002,False,3000,3.75,-3.4,1.44,-0.55,-8.54,157.01,-3.4,1.03,-1.16,-18.01,163.2,0,0,0
16,False,DSCOVR,0.0,4.0,0.002,False,2950,3.59,-3.29,1.34,-0.42,-6.73,157.77,-3.29,1.0,-0.99,-16.06,163.07,0,0,0
17,False,DSCOVR,0.0,4.0,0.002,False,3000,3.77,-3.47,1.35,-0.56,-8.61,158.67,-3.47,0.9400000000000001,-1.12,-17.35,164.77,0,0,0
18,False,DSCOVR,0.0,4.0,0.002,False,3000,3.9699999999999998,-3.65,1.43,-0.62,-8.98,158.59,-3.65,0.99,-1.21,-17.7,164.87,0,0,0
19,False,DSCOVR,0.0,4.0,0.002,False,2600,3.7800000000000002,-3.48,1.28,-0.65,-9.95,159.78,-3.48,0.84,-1.17,-18.04,166.43,0,0,0
20,False,DSCOVR,0.0,4.0,0.002,False,2850,3.01,-2.6,1.44,-0.38,-7.36,151.01,-2.6,1.1,-1.0,-19.53,157.0,0,0,0
21,False,DSCOVR,0.0,4.0,0.002,False,2900,2.3,1.73,0.6900000000000001,-1.27,-34.3,21.79,1.73,0.03,-1.45,-39.9,1.05,0,0,0
22,False,DSCOVR,0.0,4.0,0.002,False,2750,1.9300000000000002,1.55,0.36,-1.08,-34.16,13.04,1.55,-0.18,-1.12,-35.77,353.52,0,0,0
23,False,DSCOVR,0.0,4.0,0.002,False,2800,1.8599999999999999,1.43,0.41000000000000003,-1.1,-36.51,15.83,1.43,-0.14,-1.16,-39.0,354.25,0,0,0
24,False,DSCOVR,0.0,4.0,0.002,False,2950,2.09,1.62,0.48,-1.24,-36.21,16.53,1.62,-0.14,-1.32,-39.06,355.08,0,0,0
25,False,DSCOVR,0.0,4.0,0.002,False,2700,2.06,1.57,0.48,-1.23,-36.84,16.84,1.57,-0.14,-1.31,-39.73,354.89,0,0,0
26,False,DSCOVR,0.0,4.0,0.002,False,3000,1.92,1.4100000000000001,0.43,-1.22,-39.49,17.05,1.4100000000000001,-0.17,-1.28,-41.99,353.05,0,0,0
27,False,DSCOVR,0.0,4.0,0.002,False,3000,1.76,1.24,0.34,-1.17,-42.48,15.14,1.24,-0.24,-1.2,-43.52,349.04,0,0,0
28,False,DSCOVR,0.0,4.0,0.002,False,2950,1.79,1.24,0.45,-1.2,-42.24,19.92,1.24,-0.15,-1.28,-45.49,353.18,0,0,0
29,False,DSCOVR,0.0,4.0,0.002,False,3000,1.92,1.28,0.55,-1.31,-43.11,23.23,1.28,-0.11,-1.42,-47.68,355.18,0,0,0
30,False,DSCOVR,0.0,4.0,0.002,False,3000,1.9100000000000001,1.21,0.65,-1.32,-43.71,28.35,1.21,-0.02,-1.47,-50.49,359.03,0,0,0
31,False,DSCOVR,0.0,4.0,0.002,False,2650,1.72,1.06,0.55,-1.22,-45.72,27.29,1.06,-0.07,-1.34,-51.54,356.08,0,0,0
32,False,DSCOVR,0.0,4.0,0.002,False,2758,2.52,2.24,-0.19,-1.08,-25.58,355.03,2.24,-0.67,-0.87,-20.38,343.47,0,0,0
33,False,DSCOVR,0.0,4.0,0.002,False,2992,2.26,1.87,0.22,-1.22,-32.92,6.83,1.87,-0.36,-1.18,-31.95,349.17,0,0,0
34,False,DSCOVR,0.0,4.0,0.002,False,3000,2.44,2.25,-0.06,-0.9400000000000001,-22.65,358.42,2.25,-0.48,-0.81,-19.33,347.86,0,0,0
35,False,DSCOVR,0.0,4.0,0.002,False,3000,2.62,2.42,0.15,-1.01,-22.52,3.58,2.42,-0.32,-0.96,-21.53,352.37,0,0,0
36,False,DSCOVR,0.0,4.0,0.002,False,3000,2.45,2.3,-0.09,-0.8200000000000001,-19.54,357.82,2.3,-0.45,-0.6900000000000001,-16.34,348.91,0,0,0
37,False,DSCOVR,0.0,4.0,0.002,False,3000,2.47,2.29,-0.16,-0.91,-21.59,355.97,2.29,-0.56,-0.73,-17.32,346.31,0,0,0
38,False,DSCOVR,0.0,4.0,0.002,False,2950,2.42,2.22,-0.22,-0.93,-22.73,354.32,2.22,-0.62,-0.73,-17.6,344.34,0,0,0
39,False,DSCOVR,0.0,4.0,0.002,False,2858,2.34,2.1,-0.27,-0.98,-24.85,352.67,2.1,-0.6900000000000001,-0.75,-18.74,341.87,0,0,0
40,False,DSCOVR,0.0,4.0,0.002,False,2742,2.49,2.12,-0.24,-1.34,-32.09,353.6,2.12,-0.8200000000000001,-1.08,-25.47,338.83,0,0,0
41,False,DSCOVR,0.0,4.0,0.002,False,2950,1.8599999999999999,1.53,-0.15,-1.04,-34.06,354.32,1.53,-0.61,-0.85,-27.47,338.31,0,0,0
42,False,DSCOVR,0.0,4.0,0.002,False,2900,2.7,2.2800000000000002,-0.21,-1.4100000000000001,-31.66,354.63,2.2800000000000002,-0.8300000000000001,-1.16,-25.54,339.92,0,0,0
43,False,DSCOVR,0.0,4.0,0.002,False,2700,2.88,2.51,-0.38,-1.35,-27.98,351.3,2.51,-0.9500000000000001,-1.03,-20.92,339.16,0,0,0
44,False,DSCOVR,0.0,4.0,0.002,False,3000,2.94,2.52,-0.4,-1.44,-29.39,350.99,2.52,-1.01,-1.1,-22.03,338.17,0,0,0
45,False,DSCOVR,0.0,4.0,0.002,False,2900,2.92,2.46,-0.63,-1.44,-29.61,345.67,2.46,-1.21,-1.0,-20.02,333.71,0,0,0
46,False,DSCOVR,0.0,4.0,0.002,False,2850,2.96,2.55,-0.5700000000000001,-1.38,-27.84,347.51,2.55,-1.13,-0.97,-19.22,336.11,0,0,0
47,False,DSCOVR,0.0,4.0,0.002,False,2900,2.9699999999999998,2.55,-0.6,-1.3900000000000001,-28.05,346.79,2.55,-1.17,-0.97,-19.11,335.41,0,0,0
48,False,DSCOVR,0.0,4.0,0.002,False,2950,2.91,2.49,-0.58,-1.3900000000000001,-28.48,346.99,2.49,-1.1400000000000001,-0.97,-19.58,335.36,0,0,0
49,False,DSCOVR,0.0,4.0,0.002,False,3000,2.84,2.41,-0.54,-1.4100000000000001,-29.68,347.35,2.41,-1.12,-1.01,-20.79,335.06,0,0,0
50,False,DSCOVR,0.0,4.0,0.002,False,3000,2.95,2.38,-0.7000000000000001,-1.57,-32.31,343.69,2.38,-1.33,-1.08,-21.64,330.77,0,0,0
51,False,DSCOVR,0.0,4.0,0.002,False,3000,2.85,2.29,-0.53,-1.5899999999999999,-34.11,347.06,2.29,-1.19,-1.18,-24.57,332.54,0,0,0
52,False,DSCOVR,0.0,4.0,0.002,False,2850,2.73,2.25,-0.64,-1.3900000000000001,-30.79,344.19,2.25,-1.2,-0.9500000000000001,-20.5,331.95,0,0,0
53,False,DSCOVR,0.0,4.0,0.002,False,3000,2.8,2.42,-0.48,-1.3,-27.83,348.87,2.42,-1.02,-0.9500000000000001,-19.81,337.27,0,0,0
54,False,DSCOVR,0.0,4.0,0.002,False,2850,3.11,3.08,0.05,-0.4,-7.36,0.9500000000000001,3.08,-0.13,-0.38,-6.99,357.5,0,0,0
55,False,DSCOVR,0.0,4.0,0.002,False,2750,3.43,3.4,0.04,-0.49,-8.14,0.6900000000000001,3.4,-0.18,-0.45,-7.57,356.91,0,0,0
56,False,DSCOVR,0.0,4.0,0.002,False,2950,3.35,3.31,0.11,-0.48,-8.3,1.92,3.31,-0.12,-0.48,-8.27,357.94,0,0,0
