proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
1,-97.1,-3.1,-471.3,-87.6,42.0
2,-93.8,-1.8,-471.4,-84.1,41.6
3,-83.7,-2.1,-472.0,-75.2,36.7
4,-87.5,1.4,-471.9,-77.0,41.6
5,-99.4,1.1,-471.8,-87.7,46.7
6,-92.9,-3.0,-471.8,-83.8,40.1
7,-98.0,-1.9,-471.8,-87.9,43.4
8,-96.0,-2.8,-471.8,-86.5,41.7
9,-97.6,-3.3,-471.8,-88.2,42.0
10,-99.7,-2.7,-471.8,-89.8,43.5
11,-99.5,-1.6,-471.4,-89.1,44.3
12,-96.9,-1.2,-471.5,-86.6,43.5
13,-95.4,-2.4,-471.6,-85.8,41.8
14,-96.9,-0.5,-471.3,-86.3,44.0
15,-97.1,-2.8,-471.5,-87.6,42.1
16,-95.2,3.7,-471.6,-82.9,47.0
17,-102.6,-2.4,-470.9,-92.2,45.0
18,-97.5,-3.5,-471.1,-88.3,41.6
19,-103.9,13.5,-471.4,-86.1,59.7
20,-4.1,11.0,-420.4,1.4,11.6
21,48.7,25.2,-337.7,54.8,0.1
22,-3.1,8.5,-334.9,1.1,8.9
23,-3.1,8.4,-333.8,1.1,8.9
24,-3.1,8.4,-333.6,1.1,8.9
25,-3.1,8.4,-333.9,1.1,8.9
26,-3.1,8.4,-332.9,1.1,8.9
27,-3.1,15.0,-332.4,4.1,14.7
28,35.5,24.3,-332.7,42.7,5.4
29,35.9,24.3,-332.5,43.0,5.2
30,36.2,24.0,-332.0,43.2,4.8
31,-3.1,8.6,-331.5,1.2,9.1
32,13.9,11.8,-326.5,17.8,4.1
33,34.4,20.4,-328.5,39.9,2.4
34,32.0,18.7,-325.4,37.0,2.0
35,34.0,14.1,-325.3,36.7,-3.0
36,-3.0,8.3,-328.4,1.1,8.8
37,-1.3,9.7,-327.7,3.3,9.2
38,32.5,20.7,-328.1,38.4,3.6
39,30.8,20.9,-327.8,37.0,4.5
40,31.6,21.0,-326.3,37.7,4.3
41,26.8,21.4,-325.5,33.6,6.8
42,28.6,18.6,-324.3,33.9,3.6
43,27.1,17.1,-325.3,31.9,2.9
44,27.6,17.2,-324.4,32.4,2.8
45,28.3,17.4,-324.3,33.1,2.6
46,27.6,16.3,-323.8,32.0,2.0
47,27.7,18.0,-325.2,32.9,3.4
48,28.9,19.4,-326.7,34.5,4.2
49,29.0,18.9,-326.1,34.4,3.7
50,15.1,15.3,-324.4,20.3,6.8
51,28.4,20.4,-324.3,34.5,5.4
52,30.6,21.8,-325.5,37.2,5.6
53,27.3,20.0,-326.7,33.4,5.4
54,30.8,20.4,-328.4,36.7,4.2
55,38.4,0.6000000000000001,-323.9,34.6,-16.8
56,38.6,8.8,-325.6,38.4,-9.6
57,30.6,9.0,-325.2,31.4,-5.8
58,25.9,16.4,-332.2,30.5,3.0
59,28.2,-11.2,-325.0,20.1,-22.7
60,27.3,-22.2,-325.5,14.4,-32.1
61,31.4,-21.9,-325.0,18.2,-33.7
62,34.3,-34.8,-325.4,14.9,-46.5
63,41.9,-31.6,-324.9,23.2,-47.1
64,26.5,-18.7,-326.8,15.3,-28.6
65,37.7,-40.0,-324.6,15.7,-52.6
66,31.1,-26.6,-325.4,15.8,-37.7
67,35.4,-13.1,-325.8,25.8,-27.6
68,-3.1,8.3,-329.4,1.0,8.8
69,32.6,15.6,-329.0,36.1,-0.7000000000000001
70,31.6,15.8,-326.8,35.3,0.0
71,27.9,18.8,-325.7,33.4,4.3
72,28.6,18.0,-324.7,33.6,3.3
73,27.9,16.3,-325.1,32.2,2.1
74,29.0,15.9,-325.9,33.0,1.2
75,29.9,16.8,-326.5,34.3,1.7000000000000002
76,29.5,17.5,-327.7,34.2,2.4
77,-3.0,8.2,-325.9,1.0,8.7
78,32.4,14.0,-326.8,35.2,-1.9
79,32.1,18.6,-328.3,37.0,2.3
80,12.8,11.9,-327.9,16.8,4.9
81,19.3,17.3,-328.4,25.0,6.9
82,19.9,16.0,-328.3,25.0,5.5
83,28.0,19.4,-328.4,33.7,4.9
84,29.7,20.3,-328.4,35.6,5.0
85,32.7,22.2,-328.6,39.2,5.3
86,17.2,15.9,-329.5,22.5,6.6
87,29.5,19.0,-329.7,34.8,4.0
88,,,,,
89,29.1,17.2,-330.1,33.7,2.5
90,37.7,22.3,-330.4,43.7,3.3
91,,,,,
92,,,,,
93,40.1,24.8,-331.1,47.0,4.5
94,,,,,
95,36.9,23.7,-330.6,43.6,4.9
96,31.2,23.5,-329.2,38.4,7.3
97,,,,,
98,,,,,
99,33.1,22.6,-329.4,39.6,5.6
100,35.7,23.1,-329.9,42.2,5.0
101,,,,,
102,34.2,20.6,-328.9,39.7,3.4
103,,,,,
104,33.7,22.0,-329.4,39.9,4.9
105,,,,,
106,,,,,
107,33.5,21.9,-328.7,39.7,4.9
108,,,,,
109,30.6,24.2,-328.5,38.1,8.3
110,29.0,21.2,-328.8,35.3,6.3
111,,,,,
112,19.7,15.7,-330.1,24.6,5.4
113,,,,,
114,,,,,
115,-3.0,8.3,-329.7,0.9,8.8
116,,,,,
117,-3.1,8.4,-331.3,0.9,8.9
118,,,,,
119,-3.1,8.4,-331.8,0.9,8.9
120,34.2,13.4,-330.0,36.6,-3.0
121,,,,,
122,,,,,
123,-3.0,8.6,-326.3,1.1,9.1
124,,,,,
125,9.4,11.7,-327.4,13.5,6.4
126,,,,,
127,-3.0,8.3,-327.6,0.9,8.8
128,,,,,
129,-3.0,8.4,-330.8,0.9,8.9
130,,,,,
131,13.2,16.9,-331.7,19.2,9.5
132,,,,,
133,26.4,25.6,-332.6,34.9,11.6
134,,,,,
135,21.5,19.4,-332.2,27.8,8.2
136,,,,,
137,37.8,25.8,-331.1,45.3,6.8
138,,,,,
139,-3.0,16.1,-331.4,4.3,15.8
140,,,,,
141,21.5,17.3,-330.4,26.9,6.2
142,20.4,17.9,-329.2,26.1,7.3
143,,,,,
144,,,,,
145,-2.8,8.4,-327.1,1.1,8.8
146,17.2,12.6,-324.7,21.0,3.9
147,,,,,
148,,,,,
149,28.9,14.7,-325.6,32.4,0.8
150,,,,,
151,29.1,15.5,-328.1,32.9,1.4
152,,,,,
153,12.8,10.0,-326.9,15.9,3.5
154,30.3,16.0,-327.9,34.2,1.4
155,,,,,
